# M17 Hosts file generated by ./make-m17-host-file V#1.0.0
# Copyright (C) 2024 by Thomas A. Early, N7TAE.
# See the LICENSE file in https://github.com/n7tae/dht-ham-tools.
# Created on 06-01-2025 at 12:52 GMT
# Copied https://dvref.com/mrefd/json/?format=json
# Copied https://dvref.com/urfd/json/?format=json
# A null 'IPv4Address' or 'IPv6Address' means it's not configured.
# A null 'Modules' means it can't be determined.
#
# 'SpecialModules' for M17 reflectors will pass encrypted voice data.
# 'SpecialModules' for URF reflectors are fully transcoded.
#
# A null 'SpecialModules' value can mean either:
#   1) If 'Modules' is null, it can't be determined, or,
#   2) if 'Modules' is NOT null, there are no special modules.
#
#Refl   IPv4Address     IPv6Address                             Modules                    SpecialModules             Port   Source    
M17-000 81.231.241.25   null                                    null                       null                       17000  dvref.com 
M17-001 185.243.214.85  null                                    null                       null                       17001  dvref.com 
M17-002 80.190.85.142   null                                    null                       null                       17000  dvref.com 
M17-003 192.210.174.154 null                                    ABCDE                      null                       17000  Ham-DHT   
M17-007 96.43.137.101   null                                    null                       null                       17000  dvref.com 
M17-010 46.59.68.211    null                                    null                       null                       17001  dvref.com 
M17-020 66.175.215.217  2600:3c03::f03c:91ff:fead:65af          null                       null                       17000  dvref.com 
M17-033 46.226.178.84   null                                    null                       null                       17000  dvref.com 
M17-038 44.208.72.162   2600:1f18:26b8:4a00:129b:5a33:a9f0:57c5 null                       null                       17000  dvref.com 
M17-090 172.245.19.144  null                                    null                       null                       17000  dvref.com 
M17-100 81.231.241.25   null                                    null                       null                       17000  dvref.com 
M17-111 46.59.68.211    null                                    ABCDEFGJIKLMNOPQRSTUVXYZ   null                       17000  Ham-DHT   
M17-117 96.224.250.24   null                                    BDCX                       null                       17000  Ham-DHT   
M17-128 200.80.247.90   null                                    null                       null                       17000  dvref.com 
M17-138 103.195.7.20    null                                    null                       null                       17000  dvref.com 
M17-148 122.154.141.51  null                                    null                       null                       17000  dvref.com 
M17-149 122.154.140.136 null                                    null                       null                       17000  dvref.com 
M17-164 44.98.254.88    null                                    null                       null                       17000  dvref.com 
M17-17M 155.138.213.86  2001:19f0:5401:d92:5400:5ff:fe20:c06b   ABCDEFGHIJ                 null                       17000  Ham-DHT   
M17-182 119.199.235.196 null                                    ABCDEFGHIJKLMNOPQRSTUVWXYZ null                       17000  Ham-DHT   
M17-190 186.123.100.105 null                                    null                       null                       17000  dvref.com 
M17-199 45.164.228.196  null                                    null                       null                       17000  dvref.com 
M17-201 157.245.45.67   2a03:b0c0:1:e0::4fa:3001                null                       null                       17000  dvref.com 
