# M17 Hosts file generated by ./make-m17-host-file V#1.3.0
# Copyright (C) 2024-2026 by Thomas A. Early, N7TAE.
# See the LICENSE file in https://github.com/n7tae/dht-ham-tools.
# Created on 2026-04-04 at 17:11 GMT
# Copied https://hostfiles.refcheck.radio/M17Hosts.json
# WARNING: Reflectors without a version strings are not using the Ham-DHT and
# might have UNKNOWN capabilities and/or incorrect data.
# These are input by hand by the admin and might be INCORRECT.
# It is assumed that reflectors without a version string are version 0.x.y
# You can edit any of these values if you know what they are.
#
# An empty 'IPv4-address' or 'IPv6-address' means it's not configured.
# An empty 'Modules' means it can't be determined and it won't be added.
#
# 'Special-modules' for M17 reflectors will pass encrypted voice data.
# 'Special-modules' for URF reflectors are fully transcoded.
#
#Reflector;Version;Modules;Special-modules;IPv4-address;IPv6-address;Port;Dashboard-URL
M17-002;;A;;89.240.4.99;;17000;http://urf001.cumbriacq.com:98/urf/
M17-003;1.0.13-dht;ABCDEX;;192.227.141.209;;17000;http://m17.ridigitallink.net
M17-010;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;46.59.68.211;;17002;http://m17.goip.it:3002/
M17-018;;A;;189.44.229.62;;17000;https://ref018.dstar.com.br
M17-020;;DM;;66.175.215.217;2600:3c03::f03c:91ff:fead:65af;17000;https://m17-020.k2ie.net
M17-033;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;46.226.178.84;;17000;https://m17-033.dyndns.org/
M17-049;;C;;54.237.10.173;2600:1f18:26b8:4a00:6245:7d20:9e02:f216;17000;https://xlx049.dyndns.org
M17-070;;A;;186.193.221.178;;17000;https://xlx.dstar.com.br
M17-0CS;;A;;172.11.101.201;;17000;
M17-105;;A;;193.202.85.87;;17000;https://ref105.dstar.com.br/
M17-108;;ABCDEFGH;;87.106.53.226;;17000;http://87.106.53.226
M17-111;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;46.59.68.211;;17000;http://m17.goip.de:3000
M17-117;0.12.0-dht;B;;96.224.250.24;;17000;http://sbanetweb.com:8087
M17-128;;ABCD;D;200.80.247.94;;17000;https://m17-128.radiohub.ar
M17-138;;BLX;;103.195.7.20;;17000;http://m17138.freeddns.org:3000
M17-148;;BCLX;;122.154.141.51;;17000;http://m17.hs3tdi.com:3000
M17-149;;BCLX;;122.154.140.136;;17000;http://m17.pwk.ac.th:3000
M17-17M;0.11.8-dht;ABCDEFGHIJ;;155.138.213.86;2001:19f0:5401:d92:5400:5ff:fe20:c06b;17000;https://masterref.duckdns.org
M17-182;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;158.180.71.152;;17000;http://dvsys.duckdns.org:7017
M17-199;;B;;45.164.228.196;;17000;http://www.google.com
M17-201;;BCX;;157.245.45.67;2a03:b0c0:1:e0::4fa:3001;17000;https://m17.xlx201.uk
M17-202;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;46.59.68.211;;17001;http://m17.cqnet.org:3001/#/
M17-207;1.0.10-dht;ABCDEFGHIJKLMNOPQRSTUVXYZ;;104.131.81.32;2604:a880:800:10::e:7001;17000;https://m17-207.w1bsb.net
M17-222;;ABCD;;51.154.9.233;2a04:ee41:82:66e2::1;17000;http://hellasnode-m17.ddns.net:85
M17-226;0.12.0-dht;SAY;;192.18.133.90;;17000;https://m17.145500.xyz
M17-235;;ABCDE;;75.119.140.37;;17000;https://dvsph.net/m17
M17-236;;A;;209.190.4.10;2001:1828:0:7f03::11;17000;https://xlx.kd8grn.net
M17-255;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;194.143.137.145;;17000;http://m17ua.qrz.od.ua:3000/
M17-260;;ABCDE;;88.156.169.164;;17000;http://arcadius.ddns.net:8081/
